TIME=5000 ns | rst=1 | tx_enable=0 | mosi=x | cs=x | sclk=0
TIME=15000 ns | rst=1 | tx_enable=0 | mosi=0 | cs=1 | sclk=0
TIME=25000 ns | rst=1 | tx_enable=0 | mosi=0 | cs=1 | sclk=0
TIME=35000 ns | rst=1 | tx_enable=0 | mosi=0 | cs=1 | sclk=0
TIME=45000 ns | rst=1 | tx_enable=0 | mosi=0 | cs=1 | sclk=0
TIME=55000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=1 | sclk=0
TIME=65000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=1
TIME=75000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=1
TIME=85000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=1
TIME=95000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=1
TIME=105000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=0
TIME=115000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=0
TIME=125000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=0
TIME=135000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=0
TIME=145000 ns | rst=0 | tx_enable=1 | mosi=1 | cs=0 | sclk=1
TIME=155000 ns | rst=0 | tx_enable=1 | mosi=1 | cs=0 | sclk=1
TIME=165000 ns | rst=0 | tx_enable=1 | mosi=1 | cs=0 | sclk=1
TIME=175000 ns | rst=0 | tx_enable=1 | mosi=1 | cs=0 | sclk=1
TIME=185000 ns | rst=0 | tx_enable=1 | mosi=1 | cs=0 | sclk=0
TIME=195000 ns | rst=0 | tx_enable=1 | mosi=1 | cs=0 | sclk=0
TIME=205000 ns | rst=0 | tx_enable=1 | mosi=1 | cs=0 | sclk=0
TIME=215000 ns | rst=0 | tx_enable=1 | mosi=1 | cs=0 | sclk=0
TIME=225000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=1
TIME=235000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=1
TIME=245000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=1
TIME=255000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=1
TIME=265000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=0
TIME=275000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=0
TIME=285000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=0
TIME=295000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=0
TIME=305000 ns | rst=0 | tx_enable=1 | mosi=1 | cs=0 | sclk=1
TIME=315000 ns | rst=0 | tx_enable=1 | mosi=1 | cs=0 | sclk=1
TIME=325000 ns | rst=0 | tx_enable=1 | mosi=1 | cs=0 | sclk=1
TIME=335000 ns | rst=0 | tx_enable=1 | mosi=1 | cs=0 | sclk=1
TIME=345000 ns | rst=0 | tx_enable=1 | mosi=1 | cs=0 | sclk=0
TIME=355000 ns | rst=0 | tx_enable=1 | mosi=1 | cs=0 | sclk=0
TIME=365000 ns | rst=0 | tx_enable=1 | mosi=1 | cs=0 | sclk=0
TIME=375000 ns | rst=0 | tx_enable=1 | mosi=1 | cs=0 | sclk=0
TIME=385000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=1
TIME=395000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=1
TIME=405000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=1
TIME=415000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=1
TIME=425000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=0
TIME=435000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=0
TIME=445000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=0
TIME=455000 ns | rst=0 | tx_enable=1 | mosi=0 | cs=0 | sclk=0
TIME=465000 ns | rst=0 | tx_enable=1 | mosi=1 | cs=0 | sclk=1
TIME=475000 ns | rst=0 | tx_enable=1 | mosi=1 | cs=0 | sclk=1
TIME=485000 ns | rst=0 | tx_enable=1 | mosi=1 | cs=0 | sclk=1
TIME=495000 ns | rst=0 | tx_enable=1 | mosi=1 | cs=0 | sclk=1
testbench.sv:54: $finish called at 500000 (1ps)
